insert into types values ('Compact', 10, 60, 200, 50, 'Fuel Efficient', 5, 'Two Standard Suitcases');
insert into customer values ('00000088', 'Shelly', 'Kennedy', 4688, '70 Ave', 'Fredericton', 'New Brunswick', '2017/1/25', '61254378');
insert into customer values ('00000089', 'Phoebe', 'Bryan', 856, '145 Street', 'Kensington', 'Prince Edward Island', '1990/1/16', '61211168');
insert into customer values ('00000090', 'Marcy', 'Hoffman', 1720, '15 Ave', 'Lethbridge', 'Alberta', '1975/10/10', '46221619');
insert into customer values ('00000091', 'Alisha', 'Haas', 1723, '64 Ave', 'Edmonton', 'Alberta', '1996/11/21', '10303359');
insert into customer values ('00000092', 'Doris', 'Dodson', 2972, '30 Blvd', 'Paradise', 'Newfoundland', '2016/11/5', '51876184');
insert into customer values ('00000093', 'Brandy', 'Owens', 3747, '110 Blvd', 'Conception Bay South', 'Newfoundland', '1959/5/28', '35492642');
insert into customer values ('00000094', 'Foster', 'Mcdaniel', 4808, '100 Ave', 'Brandon', 'Manitoba', '2020/8/10', '85120354');
insert into customer values ('00000095', 'Sue', 'Michael', 4843, '101 Street', 'Calgary', 'Alberta', '1961/8/23', '76414971');
insert into customer values ('00000096', 'Brandy', 'Arroyo', 2265, '5 Street', 'Airdrie', 'Alberta', '2008/12/11', '43442256');
insert into customer values ('00000097', 'Meagan', 'Ware', 2300, '64 Blvd', 'West Hants', 'Nova Scotia', '1981/9/29', '73533520');
insert into customer values ('00000098', 'Kim', 'Love', 146, '16 Street', 'Airdrie', 'Alberta', '1964/11/27', '78065167');
insert into customer values ('00000099', 'Katy', 'Bryan', 48, '93 Ave', 'Cornwall', 'Prince Edward Island', '1983/11/30', '82733873');
insert into customer values ('00000100', 'Carey', 'Waters', 1771, '76 Street', 'Kensington', 'Prince Edward Island', '1959/9/2', '23878182');
insert into customer values ('00000101', 'Phoebe', 'Banks', 2243, '42 Blvd', 'Moncton', 'New Brunswick', '1952/10/20', '39763444');
insert into customer values ('00000102', 'Karla', 'Munoz', 5036, '8 Blvd', 'Mount Pearl', 'Newfoundland', '1981/10/3', '34015241');
insert into customer values ('00000103', 'Jeremy', 'Weeks', 4809, '111 Street', 'Cape Breton', 'Nova Scotia', '1960/4/23', '66642886');
insert into customer values ('00000104', 'Enrique', 'Salinas', 4365, '146 Ave', 'Québec City', 'Quebec', '1968/4/13', '66671597');
insert into customer values ('00000105', 'Virginia', 'Lyons', 4117, '5 Blvd', 'Winnipeg', 'Manitoba', '1974/5/23', '12875045');
insert into customer values ('00000106', 'Abel', 'Case', 697, '130 Blvd', 'Winnipeg', 'Manitoba', '1992/7/24', '94331888');
insert into customer values ('00000107', 'Karla', 'Torres', 3705, '149 Ave', 'Kensington', 'Prince Edward Island', '1993/4/15', '83191874');
insert into customer values ('00000108', 'Virginia', 'Lopez', 4253, '105 Street', 'Saskatoon', 'Saskatchewan', '2013/8/26', '79797971');
insert into customer values ('00000109', 'Omar', 'Hill', 981, '70 Street', 'Ottawa', 'Ontario', '1994/10/15', '35684159');
insert into customer values ('00000110', 'Donny', 'Cooper', 3971, '104 Blvd', 'Airdrie', 'Alberta', '2005/12/5', '91858006');
insert into customer values ('00000111', 'Virginia', 'Petty', 4191, '36 Blvd', 'Gatineau', 'Quebec', '1957/2/30', '19714919');
insert into customer values ('00000112', 'Peter', 'Hoffman', 5538, '37 Street', 'Steinbach', 'Manitoba', '1993/7/9', '15196751');
insert into customer values ('00000113', 'Anita', 'Michael', 4766, '48 Blvd', 'Abbotsford', 'British Columbia', '1977/8/3', '29745406');
insert into customer values ('00000114', 'Phoebe', 'Abbott', 3072, '86 Ave', 'Conception Bay South', 'Newfoundland', '2010/8/8', '77088907');
insert into customer values ('00000115', 'Raphael', 'Chavez', 1410, '26 Street', 'Ottawa', 'Ontario', '1994/3/10', '11322528');
insert into customer values ('00000116', 'Beau', 'Santos', 690, '100 Street', 'Ottawa', 'Ontario', '1996/8/15', '16119559');
insert into customer values ('00000117', 'Reynaldo', 'Ford', 2375, '91 Blvd', 'Montague', 'Prince Edward Island', '1969/10/31', '24383316');
insert into customer values ('00000118', 'Brandy', 'Singh', 2274, '81 Blvd', 'Prince Albert', 'Saskatchewan', '1974/7/30', '66737673');
insert into customer values ('00000119', 'Amanda', 'Love', 4879, '45 Ave', 'Airdrie', 'Alberta', '1990/12/6', '63362714');
insert into customer values ('00000120', 'Dale', 'Walls', 952, '142 Street', 'Cornwall', 'Prince Edward Island', '1988/2/7', '41481116');
insert into customer values ('00000121', 'Pearl', 'Roth', 2595, '143 Blvd', 'White Rock', 'British Columbia', '2010/3/9', '92239900');
insert into customer values ('00000122', 'Darin', 'Jacobson', 121, '58 Blvd', 'Lethbridge', 'Alberta', '2019/2/3', '89699711');
insert into customer values ('00000123', 'Joey', 'Sanders', 5361, '150 Street', 'Prince Albert', 'Saskatchewan', '2014/11/20', '96179104');
insert into customer values ('00000124', 'Timothy', 'Abbott', 2354, '42 Blvd', 'Steinbach', 'Manitoba', '2018/2/19', '51169637');
insert into customer values ('00000125', 'Rebecca', 'Vargas', 3143, '132 Ave', 'Saint John', 'New Brunswick', '2014/12/28', '66182326');
insert into customer values ('00000126', 'Donny', 'Vargas', 1297, '127 Street', 'Longueuil', 'Quebec', '1961/4/11', '23856689');
insert into customer values ('00000127', 'Timothy', 'Mayo', 1261, '98 Ave', 'Edmonton', 'Alberta', '1977/7/22', '91234986');
insert into customer values ('00000128', 'Jimmie', 'Ware', 5349, '70 Ave', 'Moose Jaw', 'Saskatchewan', '2002/2/1', '47974841');
insert into customer values ('00000129', 'Winfred', 'Leach', 4882, '144 Street', 'East Hants', 'Nova Scotia', '1968/1/28', '32749247');
insert into customer values ('00000130', 'Anita', 'Blake', 3453, '59 Ave', 'Springfield', 'Manitoba', '1954/3/21', '15687714');
insert into customer values ('00000131', 'Karla', 'Hill', 4148, '106 Street', 'Hamilton', 'Ontario', '1965/7/20', '81648187');
insert into customer values ('00000132', 'Alexandra', 'Welch', 4003, '28 Ave', 'Steinbach', 'Manitoba', '2008/4/7', '88633778');
insert into customer values ('00000133', 'Christi', 'Pennington', 3849, '16 Street', 'Riverview', 'New Brunswick', '1967/9/28', '90473793');
insert into customer values ('00000134', 'Foster', 'Walters', 3200, '24 Blvd', 'Saint John', 'New Brunswick', '2018/9/4', '34095439');
insert into customer values ('00000135', 'Evan', 'Petty', 3593, '149 Blvd', 'Red Deer', 'Alberta', '1957/7/5', '15821071');
insert into customer values ('00000136', 'Sybil', 'Leach', 3376, '99 Ave', 'Montréal', 'Quebec', '1964/2/28', '13479253');
insert into customer values ('00000137', 'Al', 'Mccann', 3069, '40 Ave', 'Abbotsford', 'British Columbia', '2009/9/31', '98417490');
insert into customer values ('00000138', 'Earline', 'Michael', 1396, '127 Street', 'Gatineau', 'Quebec', '2000/9/18', '61396047');
insert into customer values ('00000139', 'Clinton', 'Clay', 2746, '79 Street', 'Kelowna', 'British Columbia', '1974/12/21', '26430289');
insert into customer values ('00000140', 'Anita', 'Sanders', 3094, '73 Ave', 'White Rock', 'British Columbia', '1994/5/21', '47703617');
insert into customer values ('00000141', 'Tod', 'Tran', 4746, '124 Street', 'Winnipeg', 'Manitoba', '1989/6/18', '35123920');
insert into customer values ('00000142', 'Quinton', 'Munoz', 749, '94 Street', 'Dieppe', 'New Brunswick', '2004/3/11', '44921248');
insert into customer values ('00000143', 'Joanna', 'Owens', 407, '101 Street', 'Charlottetown', 'Prince Edward Island', '2004/11/5', '92603305');
insert into customer values ('00000144', 'Chuck', 'Hernandez', 3409, '12 Street', 'White Rock', 'British Columbia', '1969/3/22', '86927347');
insert into customer values ('00000145', 'Raymond', 'Arroyo', 3826, '96 Blvd', 'Edmonton', 'Alberta', '1950/1/21', '50232526');
insert into customer values ('00000146', 'Dale', 'Stark', 2952, '148 Ave', 'Victoria', 'British Columbia', '2010/2/5', '80912281');
insert into customer values ('00000147', 'Shelly', 'Blake', 4954, '68 Blvd', 'Prince Albert', 'Saskatchewan', '1969/6/22', '26975063');
insert into customer values ('00000148', 'Brain', 'Serrano', 2240, '99 Street', 'Riverview', 'New Brunswick', '1987/1/17', '58771247');
insert into customer values ('00000149', 'Dwayne', 'Case', 5187, '91 Ave', 'East Hants', 'Nova Scotia', '1965/2/6', '23101167');
insert into customer values ('00000150', 'Chuck', 'Haley', 2542, '130 Ave', 'Kelowna', 'British Columbia', '1952/8/29', '36320237');
insert into customer values ('00000151', 'Taylor', 'Stevenson', 1159, '63 Street', 'Prince Albert', 'Saskatchewan', '1951/8/12', '21196847');
insert into customer values ('00000152', 'Marcy', 'Welch', 3073, '78 Blvd', 'Gatineau', 'Quebec', '1958/2/30', '29866015');
insert into customer values ('00000153', 'Joanna', 'Buck', 4380, '85 Ave', 'Dieppe', 'New Brunswick', '1997/7/25', '36338092');
insert into customer values ('00000154', 'June', 'Bush', 2179, '33 Ave', 'Brandon', 'Manitoba', '1992/9/17', '11331303');
insert into customer values ('00000155', 'Alexandra', 'Green', 1026, '96 Blvd', 'Kensington', 'Prince Edward Island', '1999/8/10', '60117049');
insert into customer values ('00000156', 'Grady', 'Hawkins', 5325, '97 Blvd', 'Paradise', 'Newfoundland', '2019/4/20', '45660552');
insert into customer values ('00000157', 'Dewey', 'Case', 2322, '125 Blvd', 'St. John's', 'Newfoundland', '2012/3/23', '21524742');
insert into customer values ('00000158', 'Cliff', 'Shepard', 4736, '84 Blvd', 'Springfield', 'Manitoba', '2003/8/30', '89479411');
insert into customer values ('00000159', 'Adeline', 'Dillon', 2958, '11 Blvd', 'Mount Pearl', 'Newfoundland', '1951/4/3', '67339668');
insert into customer values ('00000160', 'Alexandra', 'Haley', 2654, '9 Blvd', 'Calgary', 'Alberta', '1973/2/6', '43512237');
insert into customer values ('00000161', 'Staci', 'Shepard', 4305, '111 Blvd', 'Riverview', 'New Brunswick', '1996/10/8', '49321681');
insert into customer values ('00000162', 'Darin', 'Buck', 4668, '99 Street', 'St. John's', 'Newfoundland', '1958/4/22', '35701086');
insert into customer values ('00000163', 'Grady', 'Mendoza', 476, '78 Ave', 'Montague', 'Prince Edward Island', '1995/5/12', '13290537');
insert into customer values ('00000164', 'Raphael', 'Salas', 4707, '21 Ave', 'Lethbridge', 'Alberta', '2001/8/23', '37456963');
insert into customer values ('00000165', 'Erna', 'Bauer', 2670, '23 Blvd', 'Vancouver', 'British Columbia', '1980/4/12', '67320852');
insert into customer values ('00000166', 'Dwayne', 'Arroyo', 1674, '137 Blvd', 'Vancouver', 'British Columbia', '1998/3/17', '15970138');
insert into customer values ('00000167', 'Brandy', 'Everett', 3662, '92 Ave', 'Mississauga', 'Ontario', '1958/2/14', '29378340');
insert into customer values ('00000168', 'Cliff', 'Powers', 1449, '74 Street', 'Airdrie', 'Alberta', '1988/4/24', '69128348');
insert into customer values ('00000169', 'Shelia', 'Mejia', 477, '51 Blvd', 'Summerside', 'Prince Edward Island', '1985/4/16', '17246934');
insert into customer values ('00000170', 'Major', 'Munoz', 1053, '28 Ave', 'Moose Jaw', 'Saskatchewan', '1976/11/8', '81718480');
insert into customer values ('00000171', 'June', 'Potts', 163, '20 Blvd', 'White Rock', 'British Columbia', '1963/2/22', '13600788');
insert into customer values ('00000172', 'Lucy', 'Michael', 2376, '3 Street', 'Moose Jaw', 'Saskatchewan', '2011/5/28', '84155154');
insert into customer values ('00000173', 'Staci', 'Lopez', 3667, '12 Blvd', 'Kelowna', 'British Columbia', '1991/3/21', '17714339');
insert into customer values ('00000174', 'Winfred', 'Moran', 2025, '35 Street', 'Victoria', 'British Columbia', '2000/2/20', '10564368');
insert into customer values ('00000175', 'Dan', 'Rodgers', 139, '95 Street', 'Paradise', 'Newfoundland', '2009/2/10', '51191832');
insert into customer values ('00000176', 'Adeline', 'Chandler', 407, '30 Ave', 'Brandon', 'Manitoba', '2004/12/31', '13709900');
insert into customer values ('00000177', 'Aurora', 'Glenn', 3671, '85 Street', 'Montague', 'Prince Edward Island', '2006/9/13', '27001601');
insert into customer values ('00000178', 'Sue', 'Kelley', 4155, '48 Ave', 'Mississauga', 'Ontario', '2014/7/30', '65034058');
insert into customer values ('00000179', 'Erna', 'Case', 3212, '90 Ave', 'Victoria', 'British Columbia', '1964/9/13', '31389840');
insert into customer values ('00000180', 'Lucien', 'Case', 210, '110 Street', 'West Hants', 'Nova Scotia', '1991/1/25', '94279020');
insert into customer values ('00000181', 'Sybil', 'Bauer', 4469, '21 Ave', 'Saskatoon', 'Saskatchewan', '1973/6/30', '88484825');
insert into customer values ('00000182', 'June', 'Banks', 2862, '128 Ave', 'Toronto', 'Ontario', '1977/8/17', '86185061');
insert into customer values ('00000183', 'Jess', 'Ford', 3938, '149 Blvd', 'Conception Bay South', 'Newfoundland', '2018/10/21', '69118539');
insert into customer values ('00000184', 'Sue', 'Cowan', 4196, '9 Street', 'Brampton', 'Ontario', '2015/7/30', '43654833');
insert into customer values ('00000185', 'Kim', 'Kelley', 1750, '129 Blvd', 'Conception Bay South', 'Newfoundland', '2018/7/5', '56398480');
insert into customer values ('00000186', 'Vern', 'Hoffman', 2831, '78 Street', 'Victoria', 'British Columbia', '1961/7/17', '50856388');
insert into customer values ('00000187', 'Foster', 'Pittman', 3861, '60 Street', 'Abbotsford', 'British Columbia', '2002/12/14', '94793383');
insert into customer values ('00000188', 'Carey', 'Schmidt', 4267, '123 Ave', 'Regina', 'Saskatchewan', '1990/9/8', '50367921');
insert into customer values ('00000189', 'Darin', 'Banks', 595, '125 Street', 'Longueuil', 'Quebec', '2003/9/17', '95341548');
insert into customer values ('00000190', 'Chris', 'Blake', 3036, '8 Blvd', 'White Rock', 'British Columbia', '2016/6/27', '17590691');
insert into customer values ('00000191', 'Meagan', 'Torres', 2845, '112 Street', 'Riverview', 'New Brunswick', '1978/6/21', '64685801');
insert into customer values ('00000192', 'Bethany', 'Reed', 943, '49 Ave', 'Corner Brook', 'Newfoundland', '1955/12/15', '76696432');
insert into customer values ('00000193', 'Mauro', 'Munoz', 2830, '150 Street', 'Hamilton', 'Ontario', '1984/2/12', '87419337');
insert into customer values ('00000194', 'Clinton', 'Fisher', 4791, '86 Blvd', 'Summerside', 'Prince Edward Island', '1996/5/22', '87271157');
insert into customer values ('00000195', 'Timothy', 'Pennington', 3565, '148 Street', 'Airdrie', 'Alberta', '2017/3/1', '40044269');
insert into customer values ('00000196', 'Amanda', 'Krause', 1873, '118 Ave', 'Kensington', 'Prince Edward Island', '2010/7/26', '93028693');
insert into customer values ('00000197', 'Winfred', 'Clay', 1505, '150 Blvd', 'Halifax', 'Nova Scotia', '1969/11/21', '22864523');
insert into customer values ('00000198', 'Amanda', 'Hill', 4882, '84 Blvd', 'Edmonton', 'Alberta', '1968/1/23', '12341784');
insert into customer values ('00000199', 'Dwayne', 'Chavez', 4762, '148 Street', 'Red Deer', 'Alberta', '1975/10/1', '88625164');
insert into customer values ('00000200', 'Erna', 'Jefferson', 1267, '125 Blvd', 'Dieppe', 'New Brunswick', '1956/9/8', '66229579');

insert into employee values ('00000001', 'Chris', 'Stevenson', 5114, '117 Ave', 'Victoria', 'British Columbia', 'grunt', '1189889', '5');
insert into employee values ('00000002', 'Abel', 'Weeks', 598, '132 Blvd', 'Cornwall', 'Prince Edward Island', 'overseer', '39833', '3');
insert into employee values ('00000003', 'Pasquale', 'Powers', 5434, '19 Ave', 'Lloydminster', 'Saskatchewan', 'dark wizard', '571729', '2');
insert into employee values ('00000004', 'Al', 'Rodgers', 5404, '66 Blvd', 'Kelowna', 'British Columbia', 'overseer', '337223', '3');
insert into employee values ('00000005', 'Elliott', 'Cooper', 2845, '79 Blvd', 'Winkler', 'Manitoba', 'dark wizard', '1428595', '5');
insert into employee values ('00000006', 'Jane', 'Abbott', 3113, '71 Blvd', 'Corner Brook', 'Newfoundland', 'dark wizard', '1057166', '3');
insert into employee values ('00000007', 'Jeremy', 'Salinas', 2437, '83 Blvd', 'Springfield', 'Manitoba', 'overseer', '872271', '4');
insert into employee values ('00000008', 'Foster', 'Mccann', 1667, '65 Street', 'Riverview', 'New Brunswick', 'grunt', '540499', '5');
insert into employee values ('00000009', 'Abel', 'Roth', 1638, '141 Ave', 'Paradise', 'Newfoundland', 'supreme commander', '667045', '1');
insert into employee values ('00000010', 'Jess', 'Simon', 1841, '127 Ave', 'Québec City', 'Quebec', 'grunt', '1845672', '2');
insert into employee values ('00000011', 'Doris', 'Shepard', 4096, '45 Ave', 'Riverview', 'New Brunswick', 'dark wizard', '1615088', '2');
insert into employee values ('00000012', 'Luz', 'Pennington', 670, '101 Street', 'Ottawa', 'Ontario', 'overseer', '802114', '5');
insert into employee values ('00000013', 'Maria', 'Brown', 4644, '82 Street', 'Kelowna', 'British Columbia', 'dark wizard', '187399', '2');
insert into employee values ('00000014', 'Virginia', 'Glenn', 2019, '43 Ave', 'Brampton', 'Ontario', 'dark wizard', '1032138', '1');
insert into employee values ('00000015', 'Karla', 'Weeks', 3184, '26 Street', 'Charlottetown', 'Prince Edward Island', 'grunt', '1630180', '5');
insert into employee values ('00000016', 'Marcy', 'Walters', 2789, '46 Street', 'Ottawa', 'Ontario', 'grunt', '1128975', '5');
insert into employee values ('00000017', 'Tod', 'Reed', 792, '149 Blvd', 'Winkler', 'Manitoba', 'supreme commander', '15842', '3');
insert into employee values ('00000018', 'Donny', 'Abbott', 5016, '3 Ave', 'Calgary', 'Alberta', 'overseer', '1983753', '1');
insert into employee values ('00000019', 'Neva', 'Pennington', 1661, '138 Blvd', 'Brampton', 'Ontario', 'grunt', '73262', '4');
insert into employee values ('00000020', 'Abel', 'Moran', 430, '127 Street', 'Steinbach', 'Manitoba', 'dark wizard', '1053334', '2');
insert into employee values ('00000021', 'Peter', 'Arroyo', 329, '44 Street', 'Conception Bay South', 'Newfoundland', 'dark wizard', '1660549', '1');
insert into employee values ('00000022', 'Dale', 'Salas', 1388, '80 Street', 'Corner Brook', 'Newfoundland', 'peon', '1571259', '4');
insert into employee values ('00000023', 'Foster', 'Hill', 1869, '12 Blvd', 'Hamilton', 'Ontario', 'overseer', '624087', '4');
insert into employee values ('00000024', 'Beau', 'Arroyo', 3950, '109 Street', 'Québec City', 'Quebec', 'supreme commander', '975693', '2');
insert into employee values ('00000025', 'Timothy', 'Chavez', 2221, '35 Ave', 'Conception Bay South', 'Newfoundland', 'peon', '1174050', '2');
insert into employee values ('00000026', 'Peter', 'Hunt', 4196, '126 Blvd', 'Toronto', 'Ontario', 'dark wizard', '1844949', '3');
insert into employee values ('00000027', 'Marcy', 'Chandler', 1357, '105 Blvd', 'Cornwall', 'Prince Edward Island', 'grunt', '1776970', '2');
insert into employee values ('00000028', 'Chris', 'Rodgers', 2440, '109 Street', 'East Hants', 'Nova Scotia', 'peon', '1343829', '1');
insert into employee values ('00000029', 'Beatrice', 'Bright', 4259, '51 Ave', 'Brandon', 'Manitoba', 'dark wizard', '1683992', '5');
insert into employee values ('00000030', 'Luz', 'Dillon', 1464, '60 Street', 'Victoria', 'British Columbia', 'dark wizard', '1940907', '1');
insert into employee values ('00000031', 'Bethany', 'Hoffman', 1646, '68 Blvd', 'Corner Brook', 'Newfoundland', 'supreme commander', '1283796', '3');
insert into employee values ('00000032', 'Bethany', 'Hoffman', 2285, '139 Blvd', 'Saint John', 'New Brunswick', 'peon', '504329', '2');
insert into employee values ('00000033', 'Lindsay', 'Shepard', 5361, '36 Street', 'Edmonton', 'Alberta', 'supreme commander', '1558795', '5');
insert into employee values ('00000034', 'Taylor', 'Ford', 1012, '24 Street', 'Edmonton', 'Alberta', 'overseer', '907355', '1');
insert into employee values ('00000035', 'Maria', 'Bauer', 171, '56 Ave', 'Lloydminster', 'Saskatchewan', 'grunt', '337500', '1');
insert into employee values ('00000036', 'Neva', 'Welch', 4859, '10 Ave', 'Abbotsford', 'British Columbia', 'overseer', '344599', '1');
insert into employee values ('00000037', 'Al', 'Roth', 2972, '28 Blvd', 'Lunenburg', 'Nova Scotia', 'dark wizard', '1665777', '3');
insert into employee values ('00000038', 'Brandy', 'Pennington', 1371, '132 Ave', 'Fredericton', 'New Brunswick', 'grunt', '580331', '1');
insert into employee values ('00000039', 'Cliff', 'Flynn', 73, '16 Ave', 'Gatineau', 'Quebec', 'peon', '686679', '3');
insert into employee values ('00000040', 'Tod', 'Everett', 730, '50 Blvd', 'Paradise', 'Newfoundland', 'supreme commander', '1300159', '4');
insert into employee values ('00000041', 'Rosalie', 'Mejia', 1230, '50 Ave', 'Cornwall', 'Prince Edward Island', 'supreme commander', '1538964', '5');
insert into employee values ('00000042', 'Lucien', 'Brown', 4177, '83 Street', 'Springfield', 'Manitoba', 'supreme commander', '974174', '4');
insert into employee values ('00000043', 'Grady', 'French', 2289, '2 Ave', 'Halifax', 'Nova Scotia', 'overseer', '553687', '5');
insert into employee values ('00000044', 'Major', 'Bryan', 1468, '122 Ave', 'Fredericton', 'New Brunswick', 'supreme commander', '1608201', '4');
insert into employee values ('00000045', 'Luz', 'Tran', 5094, '143 Ave', 'Laval', 'Quebec', 'peon', '1873442', '4');
insert into employee values ('00000046', 'Pearl', 'Waters', 1341, '8 Street', 'Summerside', 'Prince Edward Island', 'dark wizard', '1359272', '1');
insert into employee values ('00000047', 'Kim', 'Rojas', 2580, '137 Street', 'Montague', 'Prince Edward Island', 'overseer', '1316847', '3');
insert into employee values ('00000048', 'Aurelio', 'Hawkins', 3586, '59 Street', 'Mount Pearl', 'Newfoundland', 'grunt', '1820228', '2');
insert into employee values ('00000049', 'Victoria', 'Dudley', 2599, '67 Blvd', 'Brandon', 'Manitoba', 'supreme commander', '1096333', '3');
insert into employee values ('00000050', 'Aurora', 'Chandler', 3, '132 Blvd', 'Victoria', 'British Columbia', 'overseer', '32404', '3');
